Name,Type,Population,Sexual_Offenses,Robbery_bank,Handbag_Robbery,Other_Robberies,Home_Invasions,Assaults,Simple_Assaults,Theft,Shoplifting,Theft_with_Aggravating_Circumstances,Burglary,Daytime_Burglary,Total_Bicycle_Theft,Total_Vehicle_Theft,Total_Pickpocketing,Assault_on_Officials,Resistance_Against_Officials,Assault_on_Officials_Specific,Concealment,Arson,Property_Damage,Drug_Offenses,Violent_Crime,Homicide,Street_Crime,Total_Sum,Total_Crime_Rate
Oder-Spree,Kreis,182960,19.0,0.0,4.0,29.0,6.0,263.0,671.0,1782.0,733.0,1777.0,228.0,84.0,506.0,333.0,44.0,77.0,33.0,44.0,123.0,70.0,1380.0,483.0,374.0,3.0,1854.0,10920.0,5968.517708788806
Offenbach,Kreis,364457,29.0,0.0,3.0,63.0,6.0,384.0,941.0,2560.0,832.0,2713.0,360.0,123.0,909.0,875.0,113.0,85.0,17.0,68.0,193.0,92.0,1503.0,1414.0,545.0,11.0,3228.0,17067.0,4682.856962549766
Offenbach am Main,City,135490,23.0,0.0,5.0,48.0,8.0,260.0,484.0,1664.0,712.0,1485.0,131.0,57.0,540.0,574.0,97.0,58.0,14.0,44.0,210.0,30.0,751.0,940.0,399.0,11.0,1811.0,10356.0,7643.368514281497
Oldenburg,Kreis,134621,22.0,0.0,0.0,7.0,3.0,160.0,447.0,921.0,206.0,814.0,111.0,57.0,282.0,298.0,69.0,16.0,7.0,9.0,48.0,24.0,469.0,254.0,220.0,3.0,1076.0,5523.0,4102.628861767481
Oldenburg (Oldenburg),City,174629,32.0,0.0,3.0,46.0,12.0,349.0,913.0,3449.0,1272.0,2858.0,228.0,80.0,1461.0,696.0,354.0,75.0,47.0,28.0,117.0,24.0,1392.0,799.0,533.0,5.0,3588.0,18361.0,10514.290295426305
Olpe,Kreis,134332,15.0,0.0,1.0,9.0,2.0,208.0,646.0,1252.0,361.0,562.0,56.0,12.0,83.0,336.0,96.0,41.0,27.0,14.0,80.0,42.0,653.0,311.0,255.0,3.0,1200.0,6265.0,4663.818003156359
Ortenaukreis,Kreis,444390,58.0,0.0,3.0,51.0,3.0,686.0,1497.0,5087.0,1930.0,3650.0,189.0,65.0,1582.0,1087.0,183.0,281.0,164.0,117.0,166.0,97.0,1950.0,1605.0,873.0,14.0,4490.0,25828.0,5812.011971466504
Osnabrück,City,366229,49.0,0.0,9.0,57.0,10.0,596.0,1198.0,4075.0,1599.0,2720.0,156.0,63.0,1508.0,493.0,375.0,158.0,64.0,94.0,182.0,18.0,1913.0,1353.0,829.0,7.0,4098.0,21624.0,5904.502374197565
Osnabrück,Kreis,366229,33.0,1.0,1.0,15.0,7.0,443.0,1159.0,2743.0,741.0,1863.0,215.0,88.0,634.0,520.0,272.0,95.0,51.0,44.0,178.0,62.0,1633.0,806.0,553.0,6.0,2781.0,14944.0,4080.507005179819
Ostalbkreis,Kreis,320436,19.0,0.0,0.0,27.0,4.0,360.0,1163.0,2379.0,990.0,833.0,63.0,16.0,299.0,266.0,53.0,111.0,40.0,71.0,98.0,48.0,1518.0,670.0,465.0,9.0,1483.0,10985.0,3428.1416569923476
Ostallgäu,Kreis,146302,12.0,0.0,0.0,2.0,0.0,93.0,399.0,580.0,128.0,218.0,26.0,4.0,140.0,62.0,21.0,30.0,12.0,18.0,48.0,21.0,348.0,315.0,118.0,3.0,466.0,3064.0,2094.2980957198124
Osterholz,Kreis,116487,17.0,0.0,1.0,9.0,3.0,168.0,428.0,873.0,247.0,704.0,144.0,50.0,208.0,145.0,44.0,28.0,19.0,9.0,40.0,27.0,548.0,194.0,242.0,5.0,864.0,5017.0,4306.918368573317
Ostholstein,Kreis,204275,26.0,0.0,1.0,11.0,5.0,221.0,863.0,2400.0,749.0,1680.0,193.0,33.0,445.0,510.0,175.0,78.0,32.0,46.0,28.0,64.0,1272.0,769.0,296.0,3.0,2197.0,12097.0,5921.918981764778
Ostprignitz-Ruppin,Kreis,99929,22.0,0.0,1.0,24.0,8.0,235.0,834.0,1311.0,359.0,722.0,93.0,28.0,225.0,219.0,46.0,89.0,34.0,55.0,33.0,65.0,1028.0,429.0,330.0,2.0,1074.0,7266.0,7271.16252539303
Paderborn,Kreis,315400,48.0,0.0,7.0,66.0,14.0,563.0,1628.0,4429.0,1492.0,2736.0,220.0,71.0,956.0,894.0,334.0,128.0,73.0,55.0,209.0,120.0,1752.0,857.0,781.0,6.0,4217.0,21656.0,6866.201648700064
Passau,City,197863,10.0,0.0,1.0,1.0,0.0,105.0,263.0,737.0,369.0,283.0,13.0,2.0,154.0,61.0,29.0,45.0,18.0,27.0,48.0,8.0,357.0,601.0,132.0,0.0,575.0,3839.0,1940.231372212086
Passau,Kreis,197863,11.0,0.0,0.0,0.0,0.0,127.0,412.0,609.0,138.0,363.0,28.0,7.0,143.0,90.0,11.0,40.0,20.0,20.0,99.0,12.0,429.0,429.0,148.0,2.0,572.0,3710.0,1875.034746263829
Peine,Kreis,139170,14.0,0.0,0.0,10.0,3.0,189.0,573.0,1314.0,460.0,949.0,139.0,45.0,272.0,216.0,86.0,43.0,21.0,22.0,43.0,30.0,710.0,305.0,258.0,9.0,1182.0,6893.0,4952.935259035711
Pfaffenhofen a.d.Ilm,Kreis,132966,7.0,0.0,0.0,0.0,1.0,108.0,440.0,646.0,132.0,283.0,19.0,8.0,168.0,68.0,21.0,24.0,12.0,12.0,33.0,22.0,384.0,218.0,127.0,2.0,534.0,3269.0,2458.52323150279
