Gebietskennziffer;name;bev_dicht;bev_entw;st_einnkr;beschq_insg;beschq_w;beschq_m;v_gsm;v_lte;v_5g;p_markt;p_hbad;p_freibad;p_notfall;p_grunds;p_sek_1;p_sek_2
8335055;Moos;239,04;0,98;1345,25;60,75;58,21;63,39;100;99,2;91,4;3,18;14,09;9,265;12,03;2,61;7,23;11,81
8335057;Mühlingen;83,13;2,28;957,62;72,3;70,3;74,13;100;99,8;94,8;6,21;12,99;13,795;12,38;4,84;12,44;13,13
8335061;Öhningen;130,94;0,2;1222,52;50,48;50,33;50,62;98,6;38,5;4,9;4,24;21,59;6,4;21,66;5,17;12,05;21,42
8335063;Radolfzell am Bodensee, Stadt;547,28;0,63;1513,39;64,29;62,22;66,43;100;99,2;95,7;3,07;10,3;8,6;7,67;2,7;5,38;6,52
8335066;Reichenau;424,94;0,38;1635,08;62,81;63,69;62,04;99,8;98,2;93,2;2,88;3,77;4,79;14,04;3,5;9,63;12,04
8335075;Singen (Hohentwiel), Stadt;800,4;0,72;2571,65;67,51;61,81;73,16;100;100;98,6;2,3;5,8;6,26;7,79;2,85;4,76;6,15
8335077;Steißlingen;205,3;1,05;2778,9;65,97;64,79;67,17;100;100;97,8;2,87;11,43;3,5;14,11;3,33;3,38;12,64
8335079;Stockach, Stadt;250,82;0,71;1563,27;68,37;65,02;71,68;100;100;96,1;4,49;6,23;5,63;6,55;4,17;6,1;6,32
8335080;Tengen, Stadt;78,03;1,17;1180,38;63,68;61,66;65,61;100;93,5;85,4;5,86;7,33;13,29;19,84;6,22;13,69;15,26
8335081;Volkertshausen;626,21;1,02;1176,15;67,09;63,92;70,27;100;100;99,2;1,75;10,51;9,175;14,88;2,13;9,52;11,54
8335096;Hohenfels;69,14;0,46;1158,15;68,93;67,86;69,91;100;97,8;89,9;4,24;12,88;4,5;13,89;4,15;12,73;13,03
8335097;Mühlhausen-Ehingen;222,05;0,53;992,85;68,38;65,07;71,74;100;100;99,1;5,18;12,14;10,205;12,02;4,25;9,5;10,33
8335098;Bodman-Ludwigshafen;171,3;0,4;1588,45;62,85;62,64;63,07;100;98,7;84,1;5,32;10,47;2,66;11,21;5,59;11,08;10,41
8335099;Orsingen-Nenzingen;161,49;0,69;1906,13;70,41;68,75;72,07;100;100;90,9;3,6;9,57;2,98;10,36;3,68;6,88;9,62
8335100;Rielasingen-Worblingen;653,42;0,49;1118,01;65,32;64,46;66,17;100;100;99,7;2,13;8,47;5,095;8,69;2,02;3,07;7,55
8336004;Aitern;56,24;-0,45;1176;72,41;68,21;76,19;96,3;80;73,6;7,65;22,81;5,84;29,97;4,34;9,91;8,29
8336006;Bad Bellingen;303,78;3,93;1084,57;57,26;57,19;57,32;100;99,8;99,1;5,32;6,39;10,02;18;4,7;8,47;15,16
8336008;Binzen;512,22;-0,23;2303,71;49,45;51,89;46,93;100;100;100;2,35;7,4;8,63;7,71;2,91;8,11;9,19
8336010;Böllen;18,34;1,67;897,83;65,22;77,42;55,26;100;98;61,7;7,47;27,17;8,5;24,95;6,72;15,55;8,01
8336014;Efringen-Kirchen;200,53;0,34;1486,57;52,78;54,35;51,29;100;100;99,5;5,01;13,13;14,7;15,32;4,59;12,8;15,69
